"term","estimate","std.error","statistic","p.value"
"b_1_27",0.0328251199362875,0.0121043074971397,2.71185443232042,0.00669079683042425
"b_1_28",-0.808289643051309,0.215907526657589,-3.74368441695499,0.000181341393114052
"b_1_29",0.0973308028729615,0.10764643654475,0.904171155099038,0.365904652753643
"b_1_30",-0.0386472922987495,0.15277907709226,-0.252961943705232,0.800297621453623
"b_1_31",0.0300134077534739,0.113946620544258,0.263398840703805,0.792243184051349
"b_1_32",-0.252699577023525,0.107048986510062,-2.36059756623453,0.0182455181807406
"b_1_33",-0.706925868837692,0.243933956406494,-2.89802157621575,0.00375524754576322
"b_1_34",0.0128605589109284,0.111924581604103,0.114903792595075,0.908521378952275
"b_1_35",0.107710968360873,0.104006380490589,1.03561885196668,0.300379993477747
"b_1_36",0.173547725249129,0.0993764720706195,1.74636633433517,0.0807473159741752
"b_1_37",-0.614326965272659,0.166132439267074,-3.6978146350158,0.000217463591692878
"b_1_38",0.0842416597582919,0.10418461447345,0.808580616092407,0.418756418172525
"b_1_39",-0.080524081568354,0.0975992290146102,-0.82504833676811,0.409344148858136
"b_1_40",0.0828825758060956,0.102393472669116,0.809451751616341,0.418255344769136
"b_1_41",0.0194942456303792,0.116603425243273,0.167184159382177,0.867225147982152
"b_1_42",-0.502189340004892,0.124553790314208,-4.03190732885796,5.53260042950313e-05
"b_1_43",-0.665273562498905,0.137047794823144,-4.85431789221726,1.20801821100931e-06
"b_1_44",-0.32043489142135,0.154944027582532,-2.06806868532359,0.0386335648298697
"b_1_45",-0.00340591101294802,0.118080117602951,-0.0288440686043398,0.976988953823586
"b_1_46",0.191647039875794,0.157072113442383,1.22012135493481,0.222418874305941
"b_1_47",-0.559171464694573,0.328722363612239,-1.70104479217657,0.0889345764962605
"b_1_48",-0.163334771024647,0.128880230043986,-1.26733767443542,0.205034574885689
"b_1_49",-0.791323875061759,0.157290495265881,-5.0309707126557,4.88002697988711e-07
"b_1_50",0.218969067054258,0.158269309911462,1.38352196756751,0.166504876320572
"b_1_51",0.0871600952884601,0.115952640932279,0.751687021422526,0.452239297153053
"b_1_52",-0.528392772766233,0.267073604528165,-1.97845374386487,0.0478775419118575
"b_1_53",-0.0478922758086911,0.106830974447893,-0.448299531631161,0.653937038619537
"b_1_54",-0.0994804131859119,0.11318437398933,-0.878923562322215,0.379442722089937
"b_1_55",0.0784538058437158,0.106502036989959,0.736641364438055,0.461340473213656
"b_1_56",0.149621455025544,0.114715084510291,1.30428753693784,0.192135563063117
"b_1_57",-0.51418187634926,0.117734117602516,-4.36731413816,1.25783753818855e-05
"b_1_58",-0.354135158247619,0.232610412457411,-1.5224389764257,0.127899124912471
"b_1_59",0.0233984053890022,0.151268002770354,0.154681789674477,0.877072186924277
"b_1_60",-0.0919931509992234,0.100523493866374,-0.915140804014533,0.360117716243197
"b_1_61",-0.385260833124722,0.11697410067346,-3.29355670107009,0.000989283860838894
"b_1_62",-0.069650806449092,0.112133311482892,-0.621142865826437,0.53450562741585
"b_1_63",-0.0826541260976807,0.143455771348472,-0.576164523188849,0.564503982215293
"b_1_64",-0.570817061415997,0.117134911370234,-4.8731591183075,1.09827694031685e-06
"b_2_0",-0.237727936652745,0.180114598830944,-1.31987045023417,0.186878274994647
"b_2_1",0.0266049891470474,0.0583134248527771,0.456241238003369,0.648216514291279
"b_2_2",0.0961226188512557,0.0438670540809037,2.19122575849241,0.0284354594668311
"b_2_3",0.210743333177127,0.0317382049831346,6.64005205364052,3.13572392995093e-11
"b_2_4",0.174181689649043,0.0331841626641842,5.2489403277015,1.52976613791559e-07
"b_2_5",0.120084002937637,0.053509367785934,2.24416785146924,0.0248216036582691
"b_2_6",0.28352323765009,0.0346181731014704,8.19001155315289,2.61201103319809e-16
"b_2_7",0.144533071253515,0.0366368835351712,3.94501544092212,7.97948366088554e-05
"b_2_8",0.00715278106445975,0.0467638833870342,0.152955241233087,0.878433572182069
"b_2_9",0.108563143711081,0.043691567832484,2.48476191395371,0.0129638104759702
"b_2_10",-0.0618539281224801,0.030052761133705,-2.05817787747659,0.0395730614192247
