"","eco_innovation","recycling","resource_reduction","energy_saving","sust_prod","AI","bigdata","cloud","highspeed","robot","smart_devices","fam_owned","financecap","indstrl_area","urban_area","skillshortage","nace_a","ln_size","isocntry"
"244",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6",1.6094379124341,"BE"
"245",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"6",0.693147180559945,"BE"
"246",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"6",2.77258872223978,"BE"
"247",0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"6",2.77258872223978,"BE"
"248",0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,"6",3.87120101090789,"BE"
"249",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"12",2.70805020110221,"BE"
"250",0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,"6",0.693147180559945,"BE"
"251",1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,"8",2.19722457733622,"BE"
"252",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"12",1.6094379124341,"BE"
"253",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,"12",1.94591014905531,"BE"
"254",0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,"6",3.36729582998647,"BE"
"255",1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,"13",1.6094379124341,"BE"
"256",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"6",1.38629436111989,"BE"
"257",0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,"13",0.693147180559945,"BE"
"258",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",2.07944154167984,"BE"
"259",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,"12",1.09861228866811,"BE"
"260",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5",1.6094379124341,"BE"
"261",1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,"12",1.38629436111989,"BE"
"262",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"16",0.693147180559945,"BE"
"263",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,"6",2.484906649788,"BE"
"264",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"6",1.09861228866811,"BE"
"265",0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,"6",2.94443897916644,"BE"
"266",0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,"12",0.693147180559945,"BE"
"267",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"6",0.693147180559945,"BE"
"268",0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,"2",2.94443897916644,"BE"
